region,postcode_sector,month,avg_price,volume
East Midlands,NG5 1,8,212000,12
East Midlands,NG5 2,8,245000,9
East Midlands,NG5 3,8,210000,6
East Midlands,NG5 4,8,294000,9
East Midlands,NG5 5,8,190000,20
East Midlands,NG5 6,8,247000,9
East Midlands,NG5 7,8,195000,9
East Midlands,NG5 8,8,288000,7
East Midlands,NG5 9,8,192000,5
East Midlands,NG6 0,8,198000,9
East Midlands,NG6 7,8,190000,4
East Midlands,NG6 8,8,164000,14
East Midlands,NG6 9,8,179000,15
East Midlands,NG7 1,8,256000,14
East Midlands,NG7 2,8,241000,10
East Midlands,NG7 3,8,121000,9
East Midlands,NG7 4,8,178000,3
East Midlands,NG7 5,8,141000,5
East Midlands,NG7 6,8,163000,8
East Midlands,NG7 7,8,170000,13
East Midlands,NG8 1,8,292000,5
East Midlands,NG8 2,8,440000,8
East Midlands,NG8 3,8,281000,13
East Midlands,NG8 4,8,135000,4
East Midlands,NG8 5,8,165000,13
East Midlands,NG8 6,8,226000,6
East Midlands,NG9 1,8,329000,19
East Midlands,NG9 2,8,216000,18
East Midlands,NG9 3,8,326000,19
East Midlands,NG9 4,8,288000,7
East Midlands,NG9 5,8,260000,16
East Midlands,NG9 6,8,247000,12
East Midlands,NG9 7,8,228000,8
East Midlands,NG9 8,8,197000,16
East Midlands,S1 2,8,158000,18
East Midlands,S1 4,8,136000,7
East Midlands,S10 1,8,263000,20
East Midlands,S10 2,8,381000,4
East Midlands,S10 3,8,614000,15
East Midlands,S10 4,8,356000,6
East Midlands,S10 5,8,527000,9
East Midlands,S11 7,8,429000,13
East Midlands,S11 8,8,241000,12
East Midlands,S11 9,8,565000,14
East Midlands,S12 2,8,166000,9
East Midlands,S12 3,8,213000,9
East Midlands,S12 4,8,176000,9
East Midlands,S13 7,8,168000,9
East Midlands,S13 8,8,171000,19
East Midlands,S13 9,8,183000,8
East Midlands,S14 1,8,108000,7
East Midlands,S17 3,8,579000,7
East Midlands,S17 4,8,397000,17
East Midlands,S18 1,8,364000,18
East Midlands,S18 2,8,423000,8
East Midlands,S18 7,8,850000,1
East Midlands,S18 8,8,311000,7
East Midlands,S2 1,8,138000,9
East Midlands,S2 2,8,165000,9
East Midlands,S2 3,8,226000,10
East Midlands,S2 4,8,140000,3
East Midlands,S2 5,8,156000,6
East Midlands,S20 1,8,208000,4
East Midlands,S20 4,8,198000,2
East Midlands,S20 5,8,259000,7
East Midlands,S20 6,8,223000,2
East Midlands,S20 7,8,230000,3
East Midlands,S20 8,8,101000,3
East Midlands,S21 1,8,237000,6
East Midlands,S21 2,8,148000,1
East Midlands,S21 3,8,155000,3
East Midlands,S21 4,8,201000,7
East Midlands,S25 1,8,170000,2
East Midlands,S25 2,8,159000,11
East Midlands,S25 3,8,168000,4
East Midlands,S25 4,8,170000,7
East Midlands,S25 5,8,217000,3
East Midlands,S26 1,8,325000,2
East Midlands,S26 2,8,226000,8
East Midlands,S26 3,8,154000,2
East Midlands,S26 4,8,139000,5
East Midlands,S26 5,8,170000,5
East Midlands,S26 6,8,130000,8
East Midlands,S26 7,8,266000,3
East Midlands,S3 7,8,163000,3
East Midlands,S3 8,8,135000,6
East Midlands,S3 9,8,132000,2
East Midlands,S32 2,8,542000,3
East Midlands,S32 3,8,613000,4
East Midlands,S32 4,8,375000,2
East Midlands,S32 5,8,354000,3
East Midlands,S33 0,8,320000,1
East Midlands,S33 9,8,550000,1
East Midlands,S35 0,8,304000,10
East Midlands,S35 1,8,246000,9
East Midlands,S35 2,8,226000,5
East Midlands,S35 3,8,288000,1
East Midlands,S35 4,8,158000,3
East Midlands,S35 7,8,385000,1
East Midlands,S35 8,8,268000,4
East Midlands,S35 9,8,286000,6
East Midlands,S36 1,8,208000,7
East Midlands,S36 2,8,137000,3
East Midlands,S36 4,8,607000,1
East Midlands,S36 6,8,295000,11
East Midlands,S36 8,8,268000,1
East Midlands,S36 9,8,249000,5
East Midlands,S4 7,8,98000,2
East Midlands,S4 8,8,86000,3
East Midlands,S40 1,8,154000,6
East Midlands,S40 2,8,177000,15
East Midlands,S40 3,8,278000,19
East Midlands,S40 4,8,253000,13
East Midlands,S41 0,8,209000,18
East Midlands,S41 7,8,194000,10
East Midlands,S41 8,8,239000,15
East Midlands,S41 9,8,218000,5
East Midlands,S42 5,8,200000,17
East Midlands,S42 6,8,253000,20
East Midlands,S42 7,8,400000,6
East Midlands,S43 1,8,228000,9
East Midlands,S43 2,8,135000,9
East Midlands,S43 3,8,192000,14
East Midlands,S43 4,8,209000,9
East Midlands,S44 5,8,251000,10
East Midlands,S44 6,8,148000,13
East Midlands,S45 0,8,680000,1
East Midlands,S45 8,8,348000,3
East Midlands,S45 9,8,200000,10
East Midlands,S5 0,8,121000,6
East Midlands,S5 6,8,106000,5
East Midlands,S5 7,8,133000,7
East Midlands,S5 8,8,144000,4
East Midlands,S5 9,8,154000,11
East Midlands,S6 1,8,216000,10
East Midlands,S6 2,8,232000,9
East Midlands,S6 3,8,209000,9
East Midlands,S6 4,8,225000,16
East Midlands,S6 5,8,239000,22
East Midlands,S6 6,8,530000,4
East Midlands,S60 1,8,150000,1
East Midlands,S60 2,8,150000,1
East Midlands,S60 3,8,385000,6
East Midlands,S60 4,8,210000,7
East Midlands,S60 5,8,181000,21
East Midlands,S60 8,8,291000,7
East Midlands,S61 1,8,117000,8
East Midlands,S61 2,8,164000,16
East Midlands,S61 3,8,122000,8
East Midlands,S61 4,8,111000,6
East Midlands,S62 5,8,101000,7
East Midlands,S62 6,8,187000,4
East Midlands,S62 7,8,152000,6
East Midlands,S63 0,8,128000,14
East Midlands,S63 6,8,192000,9
East Midlands,S63 7,8,198000,10
East Midlands,S63 8,8,141000,9
East Midlands,S63 9,8,137000,11
East Midlands,S64 0,8,141000,5
East Midlands,S64 5,8,156000,3
East Midlands,S64 8,8,124000,9
East Midlands,S64 9,8,203000,8
East Midlands,S65 1,8,83000,4
East Midlands,S65 2,8,121000,13
East Midlands,S65 3,8,188000,8
East Midlands,S65 4,8,196000,5
East Midlands,S66 1,8,447000,6
East Midlands,S66 2,8,233000,7
East Midlands,S66 3,8,164000,4
East Midlands,S66 7,8,168000,9
East Midlands,S66 8,8,165000,10
East Midlands,S66 9,8,131000,6
East Midlands,S7 1,8,336000,12
East Midlands,S7 2,8,370000,10
East Midlands,S70 1,8,177000,5
East Midlands,S70 2,8,193000,6
East Midlands,S70 3,8,154000,8
East Midlands,S70 4,8,184000,8
East Midlands,S70 5,8,246000,7
East Midlands,S70 6,8,148000,8
East Midlands,S71 1,8,121000,14
East Midlands,S71 2,8,144000,12
East Midlands,S71 3,8,147000,4
East Midlands,S71 4,8,194000,12
East Midlands,S71 5,8,123000,9
East Midlands,S72 0,8,109000,8
East Midlands,S72 7,8,120000,13
East Midlands,S72 8,8,152000,19
East Midlands,S72 9,8,224000,3
East Midlands,S73 0,8,217000,11
East Midlands,S73 8,8,152000,7
East Midlands,S73 9,8,185000,5
East Midlands,S74 0,8,200000,11
East Midlands,S74 8,8,124000,5
East Midlands,S74 9,8,166000,8
East Midlands,S75 1,8,166000,4
East Midlands,S75 2,8,228000,14
East Midlands,S75 3,8,198000,3
East Midlands,S75 4,8,493000,5
East Midlands,S75 5,8,153000,10
East Midlands,S75 6,8,273000,8
