month,region,property_type,avg_price,volume
9,East of England,D,585000,1540
9,East of England,F,223000,746
9,East of England,S,388000,1417
9,East of England,T,325000,1333
9,Greater London,D,1255000,614
9,Greater London,F,540000,3668
9,Greater London,S,742000,1395
9,Greater London,T,779000,2407
9,North East,D,386000,1135
9,North East,F,135000,598
9,North East,S,210000,1948
9,North East,T,155000,2084
9,North West,D,417000,1502
9,North West,F,154000,1034
9,North West,S,234000,2986
9,North West,T,159000,3385
9,South East,D,709000,2087
9,South East,F,239000,1678
9,South East,S,417000,2102
9,South East,T,348000,2060
9,South West,D,579000,1901
9,South West,F,216000,1066
9,South West,S,346000,1693
9,South West,T,297000,1985
9,Wales,D,372000,841
9,Wales,F,144000,287
9,Wales,S,228000,923
9,Wales,T,175000,1208
9,West Midlands,D,448000,1287
9,West Midlands,F,150000,647
9,West Midlands,S,258000,1913
9,West Midlands,T,208000,1609
10,East England,D,362000,387
10,East England,F,136000,74
10,East England,S,243000,271
10,East England,T,213000,214
10,East Midlands,D,370000,1470
10,East Midlands,F,142000,389
10,East Midlands,S,211000,1902
10,East Midlands,T,164000,1432
10,East of England,D,579000,1381
10,East of England,F,223000,807
10,East of England,S,399000,1314
10,East of England,T,324000,1252
10,Greater London,D,1191000,514
10,Greater London,F,520000,3356
10,Greater London,S,713000,1329
10,Greater London,T,709000,2055
10,North East,D,381000,1063
10,North East,F,137000,617
10,North East,S,212000,1871
10,North East,T,153000,2075
10,North West,D,421000,1459
10,North West,F,155000,1081
10,North West,S,238000,2806
10,North West,T,162000,3344
10,South East,D,699000,2041
10,South East,F,233000,1599
10,South East,S,426000,2066
10,South East,T,345000,2096
10,South West,D,544000,1818
10,South West,F,220000,1105
10,South West,S,341000,1540
10,South West,T,296000,1775
10,Wales,D,365000,790
10,Wales,F,153000,278
10,Wales,S,224000,912
10,Wales,T,166000,1135
10,West Midlands,D,445000,1284
10,West Midlands,F,156000,602
10,West Midlands,S,254000,1933
10,West Midlands,T,200000,1656
11,East England,D,368000,340
11,East England,F,146000,68
11,East England,S,238000,221
11,East England,T,205000,189
11,East Midlands,D,366000,1288
11,East Midlands,F,135000,321
11,East Midlands,S,209000,1615
11,East Midlands,T,157000,1422
11,East of England,D,594000,1332
11,East of England,F,215000,687
11,East of England,S,388000,1201
11,East of England,T,321000,1119
11,Greater London,D,1244000,490
11,Greater London,F,486000,2966
11,Greater London,S,700000,1047
11,Greater London,T,721000,1733
11,North East,D,392000,939
11,North East,F,131000,596
11,North East,S,210000,1714
11,North East,T,150000,1790
11,North West,D,424000,1214
11,North West,F,156000,881
11,North West,S,230000,2451
11,North West,T,156000,2915
11,South East,D,690000,1842
11,South East,F,233000,1451
11,South East,S,411000,1769
11,South East,T,333000,1807
11,South West,D,551000,1619
11,South West,F,226000,999
11,South West,S,339000,1284
11,South West,T,291000,1613
11,Wales,D,357000,738
11,Wales,F,153000,231
11,Wales,S,225000,805
11,Wales,T,168000,923
11,West Midlands,D,445000,1115
11,West Midlands,F,139000,576
11,West Midlands,S,252000,1618
11,West Midlands,T,206000,1481
12,East England,D,367000,223
12,East England,F,116000,32
12,East England,S,227000,145
12,East England,T,194000,113
12,East Midlands,D,352000,796
12,East Midlands,F,133000,223
12,East Midlands,S,208000,1013
12,East Midlands,T,160000,808
12,East of England,D,532000,757
12,East of England,F,213000,491
12,East of England,S,375000,727
12,East of England,T,306000,693
12,Greater London,D,1156000,263
12,Greater London,F,533000,1812
12,Greater London,S,669000,641
12,Greater London,T,725000,1031
12,North East,D,378000,616
12,North East,F,141000,389
12,North East,S,206000,1071
12,North East,T,157000,1145
12,North West,D,396000,812
12,North West,F,157000,630
12,North West,S,235000,1555
12,North West,T,158000,1751
12,South East,D,665000,1040
12,South East,F,221000,973
12,South East,S,415000,1108
12,South East,T,338000,1126
12,South West,D,527000,994
12,South West,F,206000,663
12,South West,S,321000,817
12,South West,T,283000,1041
12,Wales,D,364000,500
12,Wales,F,159000,158
12,Wales,S,223000,528
12,Wales,T,161000,624
12,West Midlands,D,426000,664
12,West Midlands,F,144000,369
12,West Midlands,S,253000,1034
12,West Midlands,T,202000,902
